variant,label,Score,Advantage,Concealing,delta,target_laptop_renting_first
v2.fs.longdecoy38,long decoy 0.38,1.138384598988181,0.5543723249851068,0.5840122740030742,-0.04941572933818206,1.1539392395554868
v2.fs.minoffers,min offers only,1.137577701954434,0.5644025771748877,0.5731751247795458,-0.05022262637192898,1.1511442853059135
v2.fs.longdecoy,long decoy 0.42,1.134717065747975,0.5594996272896002,0.5752174384583746,-0.05308326257838791,1.138636276526626
v2.fs.min38,min offers + decoy 0.38,1.1275311925970004,0.5573040678121091,0.5702271247848912,-0.060269135729362544,1.1513498368045152
v2.fs.rotate,decoy rotate only,1.1189187563398988,0.5551030136564623,0.5638157426834365,-0.06888157198646416,1.1249736712985003
v2.firstseat,full V2.4 combo,1.118565301945698,0.5572075069128363,0.5613577950328613,-0.06923502638066492,1.197583995282871
