match_type,scenario,agent,agent_mode,opponent,opponent_mode,family,agent_first,runs,advantage,concealing,score
panel,Amsterdam,Agent360,gradient,SimpleNegotiator,reverse-ufun + time concede,example,first,2,0.5669144981412639,0.5488311442943499,1.1157456424356136
panel,Amsterdam,Agent360,gradient,SimpleNegotiator,reverse-ufun + time concede,example,second,2,0.5993150684931505,0.5724315289791766,1.1717465974723271
panel,Amsterdam,Agent360,gradient,BOANeg,BOA: time offer + Smith + ACNext,example,first,2,0.7100371747211895,0.4646279651883267,1.1746651399095163
panel,Amsterdam,Agent360,gradient,BOANeg,BOA: time offer + Smith + ACNext,example,second,2,0.6780821917808219,0.5051096362265703,1.1831918280073923
panel,Amsterdam,Agent360,gradient,MAPNeg,"MAP: same stack, acceptance_first",example,first,2,0.7100371747211895,0.4627780048531333,1.172815179574323
panel,Amsterdam,Agent360,gradient,MAPNeg,"MAP: same stack, acceptance_first",example,second,2,0.6198630136986301,0.49114796197042915,1.1110109756690592
panel,Amsterdam,Agent360,gradient,BoulwareTBNegotiator,slow concession (Boulware),time-based,first,2,0.7007434944237918,1.0,1.7007434944237918
panel,Amsterdam,Agent360,gradient,BoulwareTBNegotiator,slow concession (Boulware),time-based,second,2,0.6198630136986301,1.0,1.61986301369863
panel,Amsterdam,Agent360,gradient,ConcederTBNegotiator,fast concession,time-based,first,2,0.6840148698884758,0.5,1.1840148698884758
panel,Amsterdam,Agent360,gradient,ConcederTBNegotiator,fast concession,time-based,second,2,0.6181506849315068,1.0,1.6181506849315068
panel,Amsterdam,Agent360,gradient,LinearTBNegotiator,linear time concession,time-based,first,2,0.6617100371747211,1.0,1.6617100371747213
panel,Amsterdam,Agent360,gradient,LinearTBNegotiator,linear time concession,time-based,second,2,0.6301369863013697,1.0,1.6301369863013697
panel,Amsterdam,Agent360,gradient,ToughNegotiator,"hard line, slow give",time-based,first,2,0.30855018587360594,1.0,1.308550185873606
panel,Amsterdam,Agent360,gradient,ToughNegotiator,"hard line, slow give",time-based,second,2,0.47260273972602734,1.0,1.4726027397260273
panel,Amsterdam,Agent360,gradient,MiCRONegotiator,MiCRO (Genius-style),genius-style,first,2,0.5669144981412639,1.0,1.566914498141264
panel,Amsterdam,Agent360,gradient,MiCRONegotiator,MiCRO (Genius-style),genius-style,second,2,0.6130136986301369,1.0,1.6130136986301369
panel,Amsterdam,Agent360,gradient,TimeBasedNegotiator,generic time-based,time-based,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,Agent360,gradient,TimeBasedNegotiator,generic time-based,time-based,second,2,0.6198630136986301,1.0,1.61986301369863
panel,Amsterdam,Agent360,gradient,AspirationNegotiator,aspiration-based,time-based,first,2,0.7100371747211895,1.0,1.7100371747211895
panel,Amsterdam,Agent360,gradient,AspirationNegotiator,aspiration-based,time-based,second,2,0.6130136986301369,1.0,1.6130136986301369
panel,Amsterdam,Agent360,gradient,HybridNegotiator,hybrid time + utility,hybrid,first,2,0.5650557620817844,1.0,1.5650557620817844
panel,Amsterdam,Agent360,gradient,HybridNegotiator,hybrid time + utility,hybrid,second,2,0.6421232876712328,1.0,1.6421232876712328
panel,Amsterdam,Agent360,gradient,RandomNegotiator,random rational offers,baseline,first,2,0.7788104089219331,1.0,1.778810408921933
