match_type,scenario,agent,agent_mode,opponent,opponent_mode,family,agent_first,runs,advantage,concealing,score
panel,Camera,Agent360,gradient,SimpleNegotiator,reverse-ufun + time concede,example,first,1,0.6241373506143746,0.6192829402465182,1.2434202908608927
panel,Camera,Agent360,gradient,SimpleNegotiator,reverse-ufun + time concede,example,second,1,0.522369407648088,0.6169174284300588,1.139286836078147
panel,Camera,Agent360,gradient,BOANeg,BOA: time offer + Smith + ACNext,example,first,1,0.6204342703248611,0.4821336363815271,1.1025679067063883
panel,Camera,Agent360,gradient,BOANeg,BOA: time offer + Smith + ACNext,example,second,1,0.6653336665833542,0.4880312820174926,1.1533649486008468
panel,Camera,Agent360,gradient,MAPNeg,"MAP: same stack, acceptance_first",example,first,1,0.6204342703248611,0.47602654114131543,1.0964608114661765
panel,Camera,Agent360,gradient,MAPNeg,"MAP: same stack, acceptance_first",example,second,1,0.6653336665833542,0.49070001655367007,1.1560336831370244
panel,Camera,Agent360,gradient,BoulwareTBNegotiator,slow concession (Boulware),time-based,first,1,0.7550917353980812,1.0,1.7550917353980813
panel,Camera,Agent360,gradient,BoulwareTBNegotiator,slow concession (Boulware),time-based,second,1,0.6653336665833542,1.0,1.6653336665833542
panel,Camera,Agent360,gradient,ConcederTBNegotiator,fast concession,time-based,first,1,0.8845312236997138,1.0,1.8845312236997138
panel,Camera,Agent360,gradient,ConcederTBNegotiator,fast concession,time-based,second,1,0.6840789802549363,1.0,1.6840789802549363
panel,Camera,Agent360,gradient,LinearTBNegotiator,linear time concession,time-based,first,1,0.5157380912304326,1.0,1.5157380912304326
panel,Camera,Agent360,gradient,LinearTBNegotiator,linear time concession,time-based,second,1,0.5238690327418146,1.0,1.5238690327418145
panel,Camera,Agent360,gradient,ToughNegotiator,"hard line, slow give",time-based,first,1,0.26931493014644,1.0,1.26931493014644
panel,Camera,Agent360,gradient,ToughNegotiator,"hard line, slow give",time-based,second,1,0.4558860284928768,1.0,1.4558860284928767
