agent_mode,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v2,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6672862453531598,0.5324931747247208,1.1997794200778806
v2,sparring,Amsterdam,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5821917808219177,0.6270000283819188,1.2091918092038365
v2,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.5278810408921932,0.4984731147106026,1.026354155602796
v2,sparring,Amsterdam,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.5821917808219177,0.5848770781195539,1.1670688589414717
v2,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.7472118959107806,0.5300873538064549,1.2772992497172355
v2,sparring,Amsterdam,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5821917808219177,0.6223797633354361,1.2045715441573537
v2,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7100371747211895,0.5322535579506358,1.2422907326718253
v2,sparring,Amsterdam,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.6198630136986301,0.5725975100397597,1.1924605237383896
v2,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.5702054794520547,0.49935041857047585,1.0695558980225304
v2,sparring,Amsterdam,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.547945205479452,0.5041067386953193,1.0520519441747713
v2,learner,Amsterdam,BOANeg,examples.boa.BOANeg,example,first,2,0.7100371747211895,0.5486953808987995,1.258732555619989
v2,learner,Amsterdam,BOANeg,examples.boa.BOANeg,example,second,2,0.6198630136986301,0.5655668344541696,1.1854298481527996
v2,learner,Amsterdam,MAPNeg,examples.map.MAPNeg,example,first,2,0.7100371747211895,0.5335120090847405,1.24354918380593
v2,learner,Amsterdam,MAPNeg,examples.map.MAPNeg,example,second,2,0.6198630136986301,0.5689331636694186,1.1887961773680487
v2,learner,Amsterdam,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,2,0.6059479553903345,1.0,1.6059479553903344
v2,learner,Amsterdam,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,2,0.5582191780821917,1.0,1.5582191780821917
v2,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.6249789597710823,0.5513370691997969,1.1763160289708792
v2,sparring,Camera,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.5841039740064985,0.5638328558158127,1.1479368298223112
v2,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.5324019525332435,0.5133390060546368,1.0457409585878803
v2,sparring,Camera,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.5914771307173208,0.5378780309160376,1.1293551616333584
v2,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.7527352297592999,0.5659741179027189,1.3187093476620186
v2,sparring,Camera,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.5841039740064985,0.559794208761039,1.1438981827675376
v2,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.6204342703248611,0.536715216483796,1.1571494868086571
v2,sparring,Camera,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.6247188202949263,0.542277220045573,1.1669960403404995
v2,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.5666083479130217,0.7358701579398913,1.3024785058529131
v2,sparring,Camera,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.5432391902024494,0.7380003021726323,1.2812394923750818
v2,learner,Camera,BOANeg,examples.boa.BOANeg,example,first,2,0.6204342703248611,0.5491502393867533,1.1695845097116144
v2,learner,Camera,BOANeg,examples.boa.BOANeg,example,second,2,0.6044738815296177,0.555657455038582,1.1601313365681996
v2,learner,Camera,MAPNeg,examples.map.MAPNeg,example,first,2,0.6204342703248611,0.547930213212604,1.1683644835374651
v2,learner,Camera,MAPNeg,examples.map.MAPNeg,example,second,2,0.6377155711072233,0.5456066338011147,1.183322204908338
v2,learner,Camera,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,2,0.3708129944453796,1.0,1.3708129944453797
v2,learner,Camera,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,2,0.5841039740064985,1.0,1.5841039740064984
v2,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,2,0.7483000000000001,0.5505336238653424,1.2988336238653426
v2,sparring,Car,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,2,0.8496000000000001,0.5647806536854334,1.4143806536854335
v2,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,2,0.6989000000000001,0.5585432462051205,1.2574432462051206
v2,sparring,Car,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,2,0.8030000000000002,0.5712526339182502,1.3742526339182504
v2,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,first,2,0.7252500000000001,0.586033866004584,1.311283866004584
v2,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,second,2,0.7636000000000001,0.5814770961805943,1.3450770961805945
v2,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,2,0.7108000000000001,0.5700065716553462,1.2808065716553463
v2,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,2,0.7518000000000001,0.5670420137137253,1.3188420137137253
v2,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,2,0.9322000000000001,1.0,1.9322
v2,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,2,0.9532,0.7226490844939368,1.6758490844939369
v2,learner,Car,BOANeg,examples.boa.BOANeg,example,first,2,0.7108000000000001,0.5661348098334217,1.276934809833422
v2,learner,Car,BOANeg,examples.boa.BOANeg,example,second,2,0.8616000000000001,0.5601452629956744,1.4217452629956746
v2,learner,Car,MAPNeg,examples.map.MAPNeg,example,first,2,0.80805,0.5547557202356898,1.3628057202356898
v2,learner,Car,MAPNeg,examples.map.MAPNeg,example,second,2,0.6130000000000001,0.5697410006790884,1.1827410006790884
