scenario,opponent,opponent_class,strategy,family,agent_first,runs,advantage,concealing,score
Car,MAPNeg,examples.map.MAPNeg,"MAP: same stack, acceptance_first",example,second,1,0.8616000000000001,0.5680309129384067,1.4296309129384068
Car,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,slow concession (Boulware),time-based,first,1,0.7031000000000001,1.0,1.7031
Car,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,slow concession (Boulware),time-based,second,1,0.8616000000000001,1.0,1.8616000000000001
Car,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,fast concession,time-based,first,1,0.7499000000000001,0.0,0.7499000000000001
Car,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,fast concession,time-based,second,1,0.9787999999999999,1.0,1.9788
Car,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,linear time concession,time-based,first,1,0.7354,1.0,1.7354
Car,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,linear time concession,time-based,second,1,0.7316000000000001,1.0,1.7316000000000003
Car,ToughNegotiator,negmas.sao.ToughNegotiator,"hard line, slow give",time-based,first,1,0.0,1.0,1.0
Car,ToughNegotiator,negmas.sao.ToughNegotiator,"hard line, slow give",time-based,second,1,0.0,1.0,1.0
Car,MiCRONegotiator,negmas.sao.MiCRONegotiator,MiCRO (Genius-style),genius-style,first,1,0.5899000000000001,1.0,1.5899
Car,MiCRONegotiator,negmas.sao.MiCRONegotiator,MiCRO (Genius-style),genius-style,second,1,0.7860000000000001,1.0,1.786
Grocery,SimpleNegotiator,examples.simple.SimpleNegotiator,reverse-ufun + time concede,example,first,1,0.5277777777777778,0.6310334495845635,1.1588112273623414
Grocery,SimpleNegotiator,examples.simple.SimpleNegotiator,reverse-ufun + time concede,example,second,1,0.5055555555555555,0.6448071119585956,1.1503626675141512
Grocery,BOANeg,examples.boa.BOANeg,BOA: time offer + Smith + ACNext,example,first,1,0.7055555555555557,0.4840801833106164,1.1896357388661722
Grocery,BOANeg,examples.boa.BOANeg,BOA: time offer + Smith + ACNext,example,second,1,0.7500000000000001,0.546186694670301,1.2961866946703011
Grocery,MAPNeg,examples.map.MAPNeg,"MAP: same stack, acceptance_first",example,first,1,0.588888888888889,0.5054107182215158,1.094299607110405
Grocery,MAPNeg,examples.map.MAPNeg,"MAP: same stack, acceptance_first",example,second,1,0.7500000000000001,0.5644764422989266,1.3144764422989268
Grocery,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,slow concession (Boulware),time-based,first,1,0.588888888888889,1.0,1.588888888888889
Grocery,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,slow concession (Boulware),time-based,second,1,0.7500000000000001,1.0,1.75
