panel,agent,scenario,opponent,role,advantage,concealing,score
stress,v4.2,Camera,FirstOfferOrientedTBNegotiator,first,0.6204342703248611,1.0,1.6204342703248613
stress,v4.2,Camera,FirstOfferOrientedTBNegotiator,second,0.6063484128967759,1.0,1.606348412896776
stress,v4.2,Camera,LastOfferOrientedTBNegotiator,first,0.5910901643943219,1.0,1.5910901643943218
stress,v4.2,Camera,LastOfferOrientedTBNegotiator,second,0.6588352911772059,1.0,1.6588352911772057
stress,v4.2,Car,BoulwareTBNegotiator,first,0.7527,1.0,1.7527000000000001
stress,v4.2,Car,BoulwareTBNegotiator,second,0.8562666666666668,1.0,1.8562666666666667
stress,v4.2,Car,ConcederTBNegotiator,first,0.6488666666666667,0.0,0.6488666666666667
stress,v4.2,Car,ConcederTBNegotiator,second,0.9788,1.0,1.9788
stress,v4.2,Car,LinearTBNegotiator,first,0.6099333333333333,1.0,1.6099333333333334
stress,v4.2,Car,LinearTBNegotiator,second,0.7316000000000001,1.0,1.7316000000000003
stress,v4.2,Car,ToughNegotiator,first,0.0,1.0,1.0
stress,v4.2,Car,ToughNegotiator,second,0.0,1.0,1.0
stress,v4.2,Car,TimeBasedNegotiator,first,0.8023000000000001,1.0,1.8023
stress,v4.2,Car,TimeBasedNegotiator,second,0.7272000000000002,1.0,1.7272
stress,v4.2,Car,AspirationNegotiator,first,0.7807666666666666,1.0,1.7807666666666666
stress,v4.2,Car,AspirationNegotiator,second,0.8716000000000003,1.0,1.8716000000000002
stress,v4.2,Car,HybridNegotiator,first,0.6099333333333333,1.0,1.6099333333333334
stress,v4.2,Car,HybridNegotiator,second,0.7725333333333335,1.0,1.7725333333333335
stress,v4.2,Car,RandomNegotiator,first,0.4525666666666666,0.6666666666666666,1.1192333333333335
stress,v4.2,Car,RandomNegotiator,second,0.9226000000000001,1.0,1.9226
stress,v4.2,Car,NaiveTitForTatNegotiator,first,0.6920000000000001,0.48566529047784424,1.1776652904778442
stress,v4.2,Car,NaiveTitForTatNegotiator,second,0.6152000000000001,0.4919636673487162,1.1071636673487164
stress,v4.2,Car,SimpleTitForTatNegotiator,first,0.8367999999999999,0.48566529047784424,1.3224652904778442
stress,v4.2,Car,SimpleTitForTatNegotiator,second,0.8822000000000001,0.4919636673487162,1.374163667348716
stress,v4.2,Car,FirstOfferOrientedTBNegotiator,first,0.8519000000000001,1.0,1.8518999999999999
stress,v4.2,Car,FirstOfferOrientedTBNegotiator,second,0.8616000000000001,1.0,1.8616000000000001
stress,v4.2,Car,LastOfferOrientedTBNegotiator,first,0.8023000000000001,1.0,1.8023
stress,v4.2,Car,LastOfferOrientedTBNegotiator,second,0.7344,1.0,1.7344000000000002
stress,v4.2,Grocery,BoulwareTBNegotiator,first,0.7055555555555557,1.0,1.7055555555555557
stress,v4.2,Grocery,BoulwareTBNegotiator,second,0.7500000000000001,1.0,1.75
stress,v4.2,Grocery,ConcederTBNegotiator,first,0.5462962962962964,0.6666666666666666,1.212962962962963
stress,v4.2,Grocery,ConcederTBNegotiator,second,0.638888888888889,1.0,1.6388888888888886
stress,v4.2,Grocery,LinearTBNegotiator,first,0.6222222222222222,1.0,1.6222222222222225
stress,v4.2,Grocery,LinearTBNegotiator,second,0.7500000000000001,1.0,1.75
stress,v4.2,Grocery,ToughNegotiator,first,0.388888888888889,1.0,1.3888888888888886
stress,v4.2,Grocery,ToughNegotiator,second,0.47222222222222227,1.0,1.4722222222222223
stress,v4.2,Grocery,TimeBasedNegotiator,first,0.6444444444444445,1.0,1.6444444444444446
stress,v4.2,Grocery,TimeBasedNegotiator,second,0.7500000000000001,1.0,1.75
stress,v4.2,Grocery,AspirationNegotiator,first,0.6000000000000001,1.0,1.6000000000000003
stress,v4.2,Grocery,AspirationNegotiator,second,0.7500000000000001,1.0,1.75
stress,v4.2,Grocery,HybridNegotiator,first,0.5481481481481482,1.0,1.548148148148148
stress,v4.2,Grocery,HybridNegotiator,second,0.7870370370370372,1.0,1.787037037037037
stress,v4.2,Grocery,RandomNegotiator,first,0.36111111111111116,1.0,1.3611111111111114
stress,v4.2,Grocery,RandomNegotiator,second,0.38333333333333336,1.0,1.3833333333333335
stress,v4.2,Grocery,NaiveTitForTatNegotiator,first,0.5981481481481482,0.6283344821062667,1.226482630254415
stress,v4.2,Grocery,NaiveTitForTatNegotiator,second,0.6259259259259259,0.6433894593371329,1.269315385263059
stress,v4.2,Grocery,SimpleTitForTatNegotiator,first,0.5481481481481483,0.6266810918303423,1.1748292399784905
stress,v4.2,Grocery,SimpleTitForTatNegotiator,second,0.5703703703703703,0.6354339259402741,1.2058042963106446
stress,v4.2,Grocery,FirstOfferOrientedTBNegotiator,first,0.6444444444444445,1.0,1.6444444444444446
stress,v4.2,Grocery,FirstOfferOrientedTBNegotiator,second,0.7500000000000001,1.0,1.75
stress,v4.2,Grocery,LastOfferOrientedTBNegotiator,first,0.6666666666666669,1.0,1.6666666666666667
stress,v4.2,Grocery,LastOfferOrientedTBNegotiator,second,0.7500000000000001,1.0,1.75
stress,v4.2,ISBTAcquisition,BoulwareTBNegotiator,first,0.6405228758169935,1.0,1.6405228758169936
stress,v4.2,ISBTAcquisition,BoulwareTBNegotiator,second,0.5121951219512194,1.0,1.5121951219512197
stress,v4.2,ISBTAcquisition,ConcederTBNegotiator,first,0.5098039215686274,0.3333333333333333,0.8431372549019608
stress,v4.2,ISBTAcquisition,ConcederTBNegotiator,second,0.5243902439024389,1.0,1.524390243902439
stress,v4.2,ISBTAcquisition,LinearTBNegotiator,first,0.5032679738562091,1.0,1.5032679738562091
stress,v4.2,ISBTAcquisition,LinearTBNegotiator,second,0.5162601626016259,1.0,1.516260162601626
