agent_mode,panel,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v3,deceptive,sparring,Car,RentingLite,sparring.renting_lite.RentingLite,sparring,second,4,0.9313000000000002,1.0,1.9313000000000002
v3,deceptive,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,4,0.772775,0.5622223640530892,1.3349973640530894
v3,deceptive,sparring,Car,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,4,0.7558000000000001,0.576583853163767,1.332383853163767
v3,deceptive,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,4,0.7539750000000001,0.12950586167865624,0.8834808616786562
v3,deceptive,sparring,Car,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,4,0.9326,0.7273936209113325,1.6599936209113326
v3,deceptive,learner,Car,BOANeg,examples.boa.BOANeg,example,first,4,0.7517,0.5716906425613208,1.3233906425613209
v3,deceptive,learner,Car,BOANeg,examples.boa.BOANeg,example,second,4,0.8107000000000002,0.574132552115671,1.3848325521156712
v3,deceptive,learner,Car,MAPNeg,examples.map.MAPNeg,example,first,4,0.7383500000000001,0.5674157414740421,1.3057657414740422
v3,deceptive,learner,Car,MAPNeg,examples.map.MAPNeg,example,second,4,0.7077000000000001,0.567635370800049,1.275335370800049
v3,deceptive,learner,Car,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,4,0.5899000000000001,1.0,1.5899
v3,deceptive,learner,Car,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,4,0.7460000000000001,1.0,1.746
v3,deceptive,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,4,0.663888888888889,0.5218506719912156,1.1857395608801047
v3,deceptive,sparring,Grocery,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,4,0.6888888888888889,0.49178121085421983,1.1806700997431088
v3,deceptive,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,4,0.6583333333333335,0.5234344424796163,1.18176777581295
v3,deceptive,sparring,Grocery,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,4,0.7625000000000001,0.5116157901425111,1.274115790142511
v3,deceptive,sparring,Grocery,RentingLite,sparring.renting_lite.RentingLite,sparring,first,4,0.6194444444444445,0.517551690734589,1.1369961351790334
v3,deceptive,sparring,Grocery,RentingLite,sparring.renting_lite.RentingLite,sparring,second,4,0.8291666666666667,0.6524866067128249,1.4816532733794916
v3,deceptive,sparring,Grocery,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,4,0.6472222222222224,0.5156131916827617,1.1628354139049841
v3,deceptive,sparring,Grocery,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,4,0.7500000000000001,0.5530650725344217,1.303065072534422
v3,deceptive,sparring,Grocery,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,4,0.49444444444444446,0.24460190677352267,0.7390463512179671
v3,deceptive,sparring,Grocery,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,4,0.7763888888888889,0.6286095372604817,1.4049984261493706
v3,deceptive,learner,Grocery,BOANeg,examples.boa.BOANeg,example,first,4,0.6069444444444445,0.5152322050662157,1.1221766495106604
v3,deceptive,learner,Grocery,BOANeg,examples.boa.BOANeg,example,second,4,0.7500000000000001,0.5504043253365342,1.3004043253365343
v3,deceptive,learner,Grocery,MAPNeg,examples.map.MAPNeg,example,first,4,0.6069444444444445,0.5198907913042965,1.126835235748741
v3,deceptive,learner,Grocery,MAPNeg,examples.map.MAPNeg,example,second,4,0.7500000000000001,0.56473001152841,1.3147300115284102
v3,deceptive,learner,Grocery,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,4,0.588888888888889,1.0,1.588888888888889
v3,deceptive,learner,Grocery,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,4,0.7500000000000001,1.0,1.75
v3,deceptive,sparring,ISBTAcquisition,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,4,0.704248366013072,0.5191463731173995,1.2233947391304714
v3,deceptive,sparring,ISBTAcquisition,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,4,0.7256097560975608,0.8852815085932245,1.6108912646907854
v3,deceptive,sparring,ISBTAcquisition,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,4,0.6584967320261437,0.5308886748859065,1.1893854069120504
v3,deceptive,sparring,ISBTAcquisition,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,4,0.7286585365853657,0.665687022014897,1.3943455586002629
v3,deceptive,sparring,ISBTAcquisition,RentingLite,sparring.renting_lite.RentingLite,sparring,first,4,0.7908496732026143,0.5319589890128456,1.32280866221546
v3,deceptive,sparring,ISBTAcquisition,RentingLite,sparring.renting_lite.RentingLite,sparring,second,4,0.7804878048780487,0.7810228559483219,1.5615106608263707
v3,deceptive,sparring,ISBTAcquisition,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,4,0.7663398692810457,0.5442332023935332,1.310573071674579
v3,deceptive,sparring,ISBTAcquisition,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,4,0.5121951219512194,0.8067866393077523,1.3189817612589718
v3,deceptive,sparring,ISBTAcquisition,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,4,0.7189542483660131,0.3799128819879114,1.0988671303539244
v3,deceptive,sparring,ISBTAcquisition,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,4,0.673780487804878,0.7489210150816409,1.4227015028865189
v3,deceptive,learner,ISBTAcquisition,BOANeg,examples.boa.BOANeg,example,first,4,0.7499999999999999,0.552344438565522,1.3023444385655218
v3,deceptive,learner,ISBTAcquisition,BOANeg,examples.boa.BOANeg,example,second,4,0.5121951219512194,1.0,1.5121951219512195
v3,deceptive,learner,ISBTAcquisition,MAPNeg,examples.map.MAPNeg,example,first,4,0.6535947712418301,0.5462819207877528,1.199876692029583
v3,deceptive,learner,ISBTAcquisition,MAPNeg,examples.map.MAPNeg,example,second,4,0.5121951219512194,1.0,1.5121951219512195
v3,deceptive,learner,ISBTAcquisition,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,4,0.6405228758169934,1.0,1.6405228758169934
v3,deceptive,learner,ISBTAcquisition,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,4,0.5152439024390243,1.0,1.5152439024390243
v3,deceptive,sparring,Laptop,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,4,0.797387632376758,0.5111072953266652,1.3084949277034232
v3,deceptive,sparring,Laptop,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,4,0.9030146298741475,0.7324596823614387,1.6354743122355861
v3,deceptive,sparring,Laptop,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,4,0.7919279330163397,0.5244532086220755,1.316381141638415
v3,deceptive,sparring,Laptop,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,4,0.7670022323030451,0.6170496492600579,1.384051881563103
v3,deceptive,sparring,Laptop,RentingLite,sparring.renting_lite.RentingLite,sparring,first,4,0.8943881106602737,0.4999323972769071,1.3943205079371805
v3,deceptive,sparring,Laptop,RentingLite,sparring.renting_lite.RentingLite,sparring,second,4,0.8835011161515225,0.6069349420405912,1.4904360581921137
v3,deceptive,sparring,Laptop,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,4,0.5775524426410947,0.5761375764538188,1.1536900190949135
v3,deceptive,sparring,Laptop,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,4,0.5136317604069089,0.5543567940374392,1.0679885544443481
v3,deceptive,sparring,Laptop,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,4,0.6096818414514547,0.1196800679183458,0.7293619093698005
v3,deceptive,sparring,Laptop,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,4,0.7757471954388075,1.0,1.7757471954388075
v3,deceptive,learner,Laptop,BOANeg,examples.boa.BOANeg,example,first,4,0.5775524426410947,0.4344505931045525,1.012003035745647
v3,deceptive,learner,Laptop,BOANeg,examples.boa.BOANeg,example,second,4,0.5136317604069089,0.600910485504187,1.1145422459110959
v3,deceptive,learner,Laptop,MAPNeg,examples.map.MAPNeg,example,first,4,0.5775524426410947,0.4336018634681689,1.0111543061092636
v3,deceptive,learner,Laptop,MAPNeg,examples.map.MAPNeg,example,second,4,0.5136317604069089,0.6784240093790466,1.1920557697859555
v3,deceptive,learner,Laptop,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,4,0.6260526817828524,0.5,1.1260526817828524
v3,deceptive,learner,Laptop,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,4,0.5523676886085228,1.0,1.552367688608523
v3,deceptive,sparring,NiceOrDie,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,first,4,0.1654761904761905,0.5,0.6654761904761906
v3,deceptive,sparring,NiceOrDie,ShochanLite,sparring.shochan_lite.ShochanLite,sparring,second,4,0.1654761904761905,1.0,1.1654761904761906
v3,deceptive,sparring,NiceOrDie,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,first,4,0.0,0.4759591794226542,0.4759591794226542
v3,deceptive,sparring,NiceOrDie,UOAgentLite,sparring.uoagent_lite.UOAgentLite,sparring,second,4,0.0,0.4759591794226542,0.4759591794226542
v3,deceptive,sparring,NiceOrDie,RentingLite,sparring.renting_lite.RentingLite,sparring,first,4,0.1654761904761905,0.5,0.6654761904761906
v3,deceptive,sparring,NiceOrDie,RentingLite,sparring.renting_lite.RentingLite,sparring,second,4,0.1654761904761905,1.0,1.1654761904761906
v3,deceptive,sparring,NiceOrDie,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,first,4,0.1654761904761905,0.525,0.6904761904761905
v3,deceptive,sparring,NiceOrDie,LearnerStrong,sparring.learner_strong.LearnerStrong,sparring,second,4,0.1654761904761905,0.525,0.6904761904761905
v3,deceptive,sparring,NiceOrDie,MirrorAgent,sparring.mirror.MirrorAgent,mirror,first,4,0.1654761904761905,0.0,0.1654761904761905
v3,deceptive,sparring,NiceOrDie,MirrorAgent,sparring.mirror.MirrorAgent,mirror,second,4,0.1654761904761905,1.0,1.1654761904761906
v3,deceptive,learner,NiceOrDie,BOANeg,examples.boa.BOANeg,example,first,4,0.1654761904761905,0.525,0.6904761904761905
v3,deceptive,learner,NiceOrDie,BOANeg,examples.boa.BOANeg,example,second,4,0.1654761904761905,0.5,0.6654761904761906
v3,deceptive,learner,NiceOrDie,MAPNeg,examples.map.MAPNeg,example,first,4,0.1654761904761905,0.525,0.6904761904761905
v3,deceptive,learner,NiceOrDie,MAPNeg,examples.map.MAPNeg,example,second,4,0.1654761904761905,0.525,0.6904761904761905
v3,deceptive,learner,NiceOrDie,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,first,4,0.1654761904761905,1.0,1.1654761904761906
v3,deceptive,learner,NiceOrDie,MiCRONegotiator,negmas.sao.MiCRONegotiator,genius-style,second,4,0.1654761904761905,1.0,1.1654761904761906
